FibreApeer,FibreUs,IoU Score
649,1,0.8883248730964467
651,0,0.8943993159469859
674,2,0.9028384279475983
681,3,0.8037694013303769
683,4,0.8621973929236499
696,5,0.875
770,7,0.9331562638335547
1092,8,0.44342663273960986
1127,10,0.8414634146341463
1138,11,0.9236641221374046
1142,12,0.9237781716890352
1160,13,0.9188224799286352
1173,14,0.870626525630594
1183,15,0.8858879135719109
1186,16,0.8763882182520522
1780,17,0.8261231281198004
