FibreNumber,proportion_membrane_included,proportion_mito_mass_missed,proportion_membrane
0,11.011904761904761,20.394736842105264,7.142857142857142
1,22.24770642201835,26.980198019801982,14.3202416918429
2,17.12962962962963,26.25,6.293063849333946
3,17.71978021978022,23.132183908045977,11.00594320933304
4,16.453382084095065,39.922480620155035,11.364985163204748
5,41.650294695481335,36.11691022964509,17.621998450813322
6,24.666666666666668,32.74647887323944,9.230769230769232
7,16.428571428571427,36.08247422680412,6.730769230769231
8,26.351351351351347,24.51154529307282,11.067786442711459
9,30.17241379310345,32.63888888888889,16.30622837370242
10,45.98290598290598,28.753993610223645,23.192206819033345
11,14.935064935064934,31.84931506849315,8.10168686148729
12,18.92430278884462,25.423728813559322,9.823263460748048
13,18.019480519480517,36.3013698630137,10.115672488092537
14,38.21428571428571,43.90243902439025,31.27853881278539
15,22.9706390328152,33.394160583941606,10.888529886914377
16,37.347294938917976,48.06629834254144,16.993815541812314
17,32.21830985915493,20.708955223880597,12.429530201342281
18,11.96808510638298,18.023255813953487,11.312607944732298
19,43.531202435312025,28.07017543859649,15.473145780051151
20,61.016949152542374,72.98136645962732,52.653927813163484
21,34.308510638297875,20.63953488372093,14.252336448598129
22,21.810699588477366,21.49122807017544,10.293453724604966
23,33.96551724137931,32.846715328467155,10.902797807903086
24,32.76699029126214,23.544973544973544,19.4359756097561
25,23.547400611620795,35.8974358974359,9.45337620578778
26,28.125,19.95798319327731,14.172882843352347
27,46.67931688804554,55.33596837944664,17.29615248852806
28,17.1875,19.09722222222222,8.807829181494661
29,19.28571428571429,23.863636363636363,9.096923585841878
30,28.551912568306008,18.0,10.371159651926835
31,19.308943089430894,30.217391304347824,10.93935790725327
32,35.907335907335906,34.82688391038696,13.571689164538489
33,25.462962962962965,35.25,13.539192399049881
34,40.54878048780488,31.570512820512818,16.24497517143533
35,33.7220602526725,28.472906403940883,12.450213895854846
36,28.88198757763975,26.307189542483663,11.15815691158157
37,16.08695652173913,33.1764705882353,10.372608257804632
38,21.551724137931032,26.744186046511626,11.781285231116122
39,22.321428571428573,19.318181818181817,11.318795430944965
40,30.25,21.311475409836063,14.500375657400449
41,28.214285714285715,38.70967741935484,15.197956577266922
42,28.52941176470588,37.191358024691354,11.006683375104426
43,37.096774193548384,28.66161616161616,14.913617886178862
44,51.546391752577314,46.91011235955056,23.210562890896455
45,43.91988555078684,64.26426426426426,20.803488009965744
